"island","site","web","web_a","web_b","native","netting","startdate","enddate","spidpres","webpres","websize","webarea","websize_c","duration"
"saipan","forbi","H'S","H","S","no","yes",2013-08-01,2013-08-05,"no","no",49,0.188574099031727,-0.250503522227082,4
"saipan","ladt","I'A","I","A","no","yes",2013-07-30,2013-08-07,"yes","yes",49,0.188574099031727,-0.250503522227082,8
"guam","anao","I'X","I","X","no","yes",2013-08-07,2013-08-10,"no","yes",49,0.188574099031727,-0.250503522227082,3
"saipan","ladt","H'F","H","F","no","no",2013-08-01,2013-08-02,"no","yes",48,0.180955736846772,-0.343169459311084,1
"saipan","ladt","H'Y","H","Y","no","yes",2013-07-30,2013-08-06,"no","no",48,0.180955736846772,-0.343169459311084,7
"saipan","ladt","I'E","I","E","no","yes",2013-08-01,2013-08-06,"no","no",48,0.180955736846772,-0.343169459311084,5
"saipan","ladt","I'I","I","I","yes","no",2013-08-03,2013-08-04,"no","yes",48,0.180955736846772,-0.343169459311084,1
"guam","anao","I'W","I","W","no","yes",2013-08-07,2013-08-12,"no","no",48,0.180955736846772,-0.343169459311084,5
"guam","anao","I'Z","I","Z","no","yes",2013-08-07,2013-08-14,"yes","no",48,0.180955736846772,-0.343169459311084,7
"guam","nblas","J'N","J","N","no","yes",2013-08-07,2013-08-12,"no","no",48,0.180955736846772,-0.343169459311084,5
"saipan","forbi","H'O","H","O","no","no",2013-08-01,2013-08-04,"no","yes",47,0.173494454294496,-0.435835396395085,3
"guam","anao","I'Y","I","Y","no","yes",2013-08-07,2013-08-11,"no","no",47,0.173494454294496,-0.435835396395085,4
"guam","nblas","Z'","Z",NA,"yes","no",2013-06-24,2013-07-01,"yes","yes",47,0.173494454294496,-0.435835396395085,7
"guam","nblas","A'B","A","B","yes","no",2013-06-24,2013-06-29,"yes","yes",47,0.173494454294496,-0.435835396395085,5
"saipan","ladt","H'D","H","D","no","no",2013-07-30,2013-08-02,"no","yes",46,0.1661902513749,-0.528501333479087,3
"saipan","forbi","H'T","H","T","no","yes",2013-08-01,2013-08-06,"no","no",46,0.1661902513749,-0.528501333479087,5
"saipan","ladt","I'D","I","D","no","yes",2013-08-01,2013-08-05,"no","yes",46,0.1661902513749,-0.528501333479087,4
"saipan","forbi","H'R","H","R","no","yes",2013-08-01,2013-08-04,"no","yes",45,0.159043128087983,-0.621167270563089,3
"saipan","ladt","G'Y","G","Y","no","no",2013-07-30,2013-07-31,"no","yes",44,0.152053084433746,-0.713833207647091,1
"saipan","ladt","H'X","H","X","no","yes",2013-07-30,2013-08-03,"no","yes",44,0.152053084433746,-0.713833207647091,4
"saipan","ladt","G'W","G","W","no","no",2013-07-30,2013-07-31,"no","yes",43,0.145220120412188,-0.806499144731093,1
"guam","nblas","A'H","A","H","yes","no",2013-06-24,2013-06-26,"no","no",43,0.145220120412188,-0.806499144731093,2
"saipan","forbi","I'K","I","K","yes","no",2013-08-04,2013-08-05,"no","yes",42,0.13854423602331,-0.899165081815094,1
"guam","anao","J'B","J","B","no","yes",2013-08-07,2013-08-10,"no","no",42,0.13854423602331,-0.899165081815094,3
"saipan","mtr","G'R","G","R","yes","no",2013-07-26,2013-07-27,"no","yes",41,0.132025431267111,-0.991831018899096,1
"saipan","ladt","I'C","I","C","no","yes",2013-08-01,2013-08-04,"no","yes",41,0.132025431267111,-0.991831018899096,3
"guam","nblas","A'K","A","K","yes","no",2013-06-24,2013-06-29,"no","no",39,0.119459060652752,-1.1771628930671,5
"guam","anao","J'C","J","C","no","no",2013-08-07,2013-08-10,"no","no",38,0.113411494794592,-1.2698288301511,3
"saipan","forbi","G'S","G","S","yes","no",2013-07-27,2013-07-29,"no","yes",37,0.107521008569111,-1.3624947672351,2
"guam","nblas","J'D","J","D","no","no",2013-08-07,2013-08-11,"no","yes",37,0.107521008569111,-1.3624947672351,4
"saipan","mtr","G'Q","G","Q","yes","no",2013-07-26,2013-07-29,"no","yes",34,0.090792027688745,-1.64049257848711,3
"saipan","ladt","I'B","I","B","no","yes",2013-08-01,2013-08-02,"no","yes",34,0.090792027688745,-1.64049257848711,1
"guam","anao","I'R","I","R","no","no",2013-08-07,2013-08-10,"no","no",34,0.090792027688745,-1.64049257848711,3
"saipan","ladt","H'B","H","B","no","no",2013-07-30,2013-07-31,"no","yes",33,0.0855298599939821,-1.73315851557111,1
"guam","anao","I'U","I","U","no","no",2013-08-07,2013-08-12,"no","no",32,0.0804247719318987,-1.82582445265511,5
"saipan","forbi","H'L","H","L","no","no",2013-08-01,2013-08-02,"no","yes",31,0.0754767635024948,-1.91849038973911,1
"saipan","forbi","H'M","H","M","no","no",2013-08-01,2013-08-02,"no","no",27,0.057255526111674,-2.28915413807512,1
"guam","anao","I'Q","I","Q","no","no",2013-08-07,2013-08-14,"yes","no",25,0.0490873852123405,-2.47448601224313,7
