"island","site","web","web_a","web_b","native","netting","startdate","enddate","spidpres","webpres","websize"
"saipan","LADT","H'X","H","X","no","yes","30-Jul-2013","3-Aug-2013","no","yes",44
"saipan","LADT","H'Y","H","Y","no","yes","30-Jul-2013","6-Aug-2013","no","no",48
"saipan","LADT","H'Z","H","Z","no","yes","30-Jul-2013","6-Aug-2013","yes","yes",57
"saipan","LADT","I'A","I","A","no","yes","30-Jul-2013","7-Aug-2013","yes","yes",49
"saipan","LADT","I'B","I","B","no","yes","1-Aug-2013","2-Aug-2013","no","yes",34
"saipan","LADT","I'C","I","C","no","yes","1-Aug-2013","4-Aug-2013","no","yes",41
"saipan","LADT","I'D","I","D","no","yes","1-Aug-2013","5-Aug-2013","no","yes",46
"saipan","LADT","I'E","I","E","no","yes","1-Aug-2013","6-Aug-2013","no","no",48
"saipan","LADT","I'F","I","F","no","yes","1-Aug-2013","7-Aug-2013","no","no",55
"saipan","LADT","I'G","I","G","no","yes","1-Aug-2013","7-Aug-2013","no","no",66
"saipan","LADT","I'H","I","H","yes","no","2-Aug-2013","4-Aug-2013","no","yes",51
"saipan","LADT","I'I","I","I","yes","no","3-Aug-2013","4-Aug-2013","no","yes",48
"saipan","LADT","I'J","I","J","yes","no","3-Aug-2013","5-Aug-2013","no","yes",51
"saipan","forbi","I'K","I","K","yes","no","4-Aug-2013","5-Aug-2013","no","yes",42
"saipan","Forbi","I'L","I","L","yes","no","5-Aug-2013","6-Aug-2013","no","yes",54
"guam","Anao","I'Q","I","Q","no","no","7-Aug-2013","14-Aug-2013","yes","no",25
"guam","Anao","I'R","I","R","no","no","7-Aug-2013","10-Aug-2013","no","no",34
"guam","Anao","I'S","I","S","no","no","7-Aug-2013","14-Aug-2013","yes","no",57
"guam","Anao","I'T","I","T","no","no","7-Aug-2013","10-Aug-2013","no","no",63
"guam","Anao","I'U","I","U","no","no","7-Aug-2013","12-Aug-2013","no","no",32
"guam","Anao","I'V","I","V","no","no","7-Aug-2013","12-Aug-2013","no","no",70
"guam","Anao","I'W","I","W","no","yes","7-Aug-2013","12-Aug-2013","no","no",48
"guam","Anao","I'X","I","X","no","yes","7-Aug-2013","10-Aug-2013","no","yes",49
"gaum","Anao","I'Y","I","Y","no","yes","7-Aug-2013","11-Aug-2013","no","no",47
"guam","Anao","I'Z","I","Z","no","yes","7-Aug-2013","14-Aug-2013","yes","no",48
"guam","Anao","J'A","J","A","no","yes","7-Aug-2013","10-Aug-2013","no","no",51
"guam","Anao","J'B","J","B","no","yes","7-Aug-2013","10-Aug-2013","no","no",42
"guam","Anao","J'C","J","C","no","no","7-Aug-2013","10-Aug-2013","no","no",38
"guam","Nblas","J'D","J","D","no","no","7-Aug-2013","11-Aug-2013","no","yes",37
"guam","Nblas","J'E","J","E","no","no","7-Aug-2013","12-Aug-2013","no","no",76
"guam","Nblas","J'F","J","F","no","no","7-Aug-2013","14-Aug-2013","yes","no",56
"guam","Nblas","J'G","J","G","no","no","7-Aug-2013","14-Aug-2013","yes","no",67
"guam","Nblas","J'H","J","H","no","no","7-Aug-2013","10-Aug-2013","no","no",59
"guam","Nblas","J'I","J","I","no","yes","7-Aug-2013","12-Aug-2013","no","no",73
"guam","Nblas","J'J","J","J","no","yes","7-Aug-2013","11-Aug-2013","no","no",60
"guam","Nblas","J'K","J","K","no","yes","7-Aug-2013","14-Aug-2013","yes","no",63
"guam","Nblas","J'L","J","L","no","yes","7-Aug-2013","12-Aug-2013","no","no",53
"guam","Nblas","J'M","J","M","no","yes","7-Aug-2013","10-Aug-2013","no","yes",61
"guam","Nblas","J'N","J","N","no","yes","7-Aug-2013","12-Aug-2013","no","no",48
"guam","Nblas","J'O","J","O","no","yes","7-Aug-2013","11-Aug-2013","no","no",71
"guam","Nblas","Z'","Z","","yes","no","24-Jun-2013","1-Jul-2013","yes","yes",47
"guam","Nblas","A'A","A","A","yes","no","24-Jun-2013","29-Jun-2013","yes","yes",77
"guam","Nblas","A'B","A","B","yes","no","24-Jun-2013","29-Jun-2013","yes","yes",47
"guam","Nblas","A'C","A","C","yes","no","24-Jun-2013","28-Jun-2013","yes","yes",62
"guam","Nblas","A'D","A","D","yes","no","24-Jun-2013","30-Jun-2013","yes","yes",58
"guam","Nblas","A'E","A","E","yes","no","24-Jun-2013","1-Jul-2013","no","no",56
"guam","Nblas","A'F","A","F","yes","no","24-Jun-2013","28-Jun-2013","no","no",67
"guam","Nblas","A'G","A","G","yes","no","24-Jun-2013","29-Jun-2013","yes","yes",51
"guam","Nblas","A'H","A","H","yes","no","24-Jun-2013","26-Jun-2013","no","no",43
"guam","Nblas","A'I","A","I","yes","no","24-Jun-2013","28-Jun-2013","no","no",66
"guam","Nblas","A'J","A","J","yes","no","24-Jun-2013","30-Jun-2013","no","no",58
"guam","Nblas","A'K","A","K","yes","no","24-Jun-2013","29-Jun-2013","no","no",39
"guam","Nblas","A'L","A","L","yes","no","24-Jun-2013","30-Jun-2013","no","no",56
"guam","Nblas","A'M","A","M","yes","no","24-Jun-2013","28-Jun-2013","no","yes",54
"guam","Nblas","A'N","A","N","yes","no","24-Jun-2013","27-Jun-2013","no","yes",53
"guam","Nblas","A'O","A","O","yes","no","24-Jun-2013","30-Jun-2013","no","no",70
"guam","NBlas","A'P","A","P","yes","no","24-Jun-2013","25-Jun-2013","no","no",58
